RollNo,DOB,DOR      
45408,05.01.1972,31.01.2032
43916,20.06.1972,30.06.2032
22923,18.01.1977,31.01.2037
39426,28.01.1989,31.01.2049
60121,15.05.1984,31.05.2044
55223,25.07.1985,31.07.2045
61991,14.06.1985,30.06.2045
46353,21.06.1972,30.06.2032
45279,17.05.1969,31.05.2029
38296,15.12.1977,31.12.2037
35719,03.12.1966,31.12.2026
67100,27.01.1999,31.01.2059
52567,30.05.1988,31.05.2048
65211,25.08.1991,31.08.2051
53890,25.10.1990,31.10.2050
21111,16.04.1967,30.04.2027
22931,19.08.1977,31.08.2037
55663,02.06.1990,30.06.2050
62887,10.03.1987,31.03.2047
67050,21.11.2002,30.11.2062
65272,09.08.1998,31.08.2058
66065,17.11.1993,30.11.2053
65450,19.04.2001,30.04.2061
35910,08.06.1966,30.06.2026
56920,27.05.1988,31.05.2048
56062,27.04.1986,30.04.2046
35803,10.09.1970,30.09.2030
67098,09.01.2002,31.01.2062
63840,21.09.1989,30.09.2049
61627,21.01.1989,31.01.2049
53043,10.03.1987,31.03.2047
45530,12.03.1976,31.03.2036
46939,10.05.1985,31.05.2045
55211,28.07.1990,31.07.2050
67067,08.04.1998,30.04.2058
58162,15.06.1986,30.06.2046
66168,01.10.1994,30.09.2054
66824,20.03.2000,31.03.2060
55601,26.10.1991,31.10.2051
45169,17.06.1969,30.06.2029
22837,06.06.1971,30.06.2031
58501,08.04.1987,30.04.2047
67104,10.05.2001,31.05.2061
50665,03.01.1968,31.01.2028
61722,04.03.1991,31.03.2051
54648,20.08.1982,31.08.2042
22817,30.05.1978,31.05.2038
52411,06.10.1985,31.10.2045
53722,13.01.1990,31.01.2050
66155,30.09.1990,30.09.2050
56073,23.03.1990,31.03.2050
41853,08.05.1968,31.05.2028
55194,17.03.1988,31.03.2048
40724,28.10.1977,31.10.2037
66779,09.09.1998,30.09.2058
62743,27.05.1989,31.05.2049
58229,01.04.1986,31.03.2046
36648,08.05.1968,31.05.2028
66735,27.01.1996,31.01.2056
38831,29.05.1979,31.05.2039
47164,10.04.1987,30.04.2047
54335,10.07.1974,31.07.2034
47082,03.07.1973,31.07.2033
39356,07.01.1985,31.01.2045
67085,19.06.2001,30.06.2061
66443,07.09.1993,30.09.2053
50550,02.06.1981,30.06.2041
58685,12.08.1989,31.08.2049
53699,23.04.1991,30.04.2051
66412,29.06.2001,30.06.2061
63038,20.06.1986,30.06.2046
54822,19.10.1988,31.10.2048
63544,13.10.1991,31.10.2051
63791,22.05.1989,31.05.2049
37115,12.04.1972,30.04.2032
60198,13.01.1990,31.01.2050
67090,30.12.2000,31.12.2060
53971,30.06.1989,30.06.2049
60408,18.09.1991,30.09.2051
64724,10.07.1977,31.07.2037
53493,21.09.1985,30.09.2045
67091,02.06.1997,30.06.2057
61633,18.11.1990,30.11.2050
59030,03.09.1989,30.09.2049
66733,08.06.2002,30.06.2062
53259,05.12.1984,31.12.2044
63738,08.02.1970,28.02.2030
62035,04.01.1986,31.01.2046
39934,01.02.1979,31.01.2039
60154,04.12.1989,31.12.2049
46494,22.05.1983,31.05.2043
61548,01.06.1987,31.05.2047
22924,25.06.1977,30.06.2037
49301,02.01.1980,31.01.2040
53899,03.05.1989,31.05.2049
39910,16.08.1988,31.08.2048
22016,08.07.1967,31.07.2027
56108,20.05.1989,31.05.2049
56825,27.07.1989,31.07.2049
67470,06.03.2001,31.03.2061
67005,13.09.2002,30.09.2062
66427,04.03.2002,31.03.2062
64119,23.05.1987,31.05.2047
22681,09.06.1973,30.06.2033
49077,13.08.1989,31.08.2049
66484,01.09.1997,31.08.2057
66152,20.06.1998,30.06.2058
47483,17.02.1999,28.02.2059
50663,10.01.1987,31.01.2047
55755,17.05.1990,31.05.2050
63520,11.11.1989,30.11.2049
61983,12.06.1991,30.06.2051
51529,16.09.1982,30.09.2042
52251,06.07.1988,31.07.2048
64122,20.04.1974,30.04.2034
65451,30.07.1996,31.07.2056
50392,22.06.1988,30.06.2048
66939,30.11.2000,30.11.2060
62061,14.06.1988,30.06.2048
22764,11.05.1976,31.05.2036
61599,29.04.1990,30.04.2050
63831,29.01.1991,31.01.2051
61672,30.05.1992,31.05.2052
49217,08.05.1988,31.05.2048
61934,04.04.1987,30.04.2047
63695,27.02.1991,28.02.2051
64220,02.05.1992,31.05.2052
49124,22.05.1987,31.05.2047
67075,14.09.1999,30.09.2059
63679,15.04.1990,30.04.2050
46455,07.09.1982,30.09.2042
46328,09.04.1974,30.04.2034
38517,29.06.1985,30.06.2045
63672,16.12.1988,31.12.2048
47042,15.02.1973,28.02.2033
65911,26.04.2000,30.04.2060
62649,17.05.1989,31.05.2049
66897,16.05.1994,31.05.2054
59820,15.01.1992,31.01.2052
61980,25.02.1990,28.02.2050
54532,12.07.1989,31.07.2049
66958,11.06.2001,30.06.2061
66470,31.08.2001,31.08.2061
57546,27.05.1990,31.05.2050
63926,08.05.1993,31.05.2053
63142,17.11.1992,30.11.2052
66973,08.07.2002,31.07.2062
57320,15.03.1981,31.03.2041
38535,28.07.1980,31.07.2040
47481,20.05.1990,31.05.2050
63527,06.06.1985,30.06.2045
51984,23.02.1989,28.02.2049
61683,12.12.1987,31.12.2047
66924,16.01.1998,31.01.2058
61617,06.02.1990,28.02.2050
50059,08.10.1986,31.10.2046
66940,13.06.2000,30.06.2060
66454,29.12.2001,31.12.2061
59912,12.04.1983,30.04.2043
43763,04.08.1969,31.08.2029
63471,10.06.1992,30.06.2052
67051,08.07.2003,31.07.2063
61628,16.02.1990,28.02.2050
53803,21.06.1985,30.06.2045
64574,22.04.1988,30.04.2048
66901,27.08.2001,31.08.2061
55401,08.03.1990,31.03.2050
46926,03.05.1980,31.05.2040
55447,31.01.1989,31.01.2049
66970,28.08.1998,31.08.2058
54612,04.01.1993,31.01.2053
48496,15.07.1982,31.07.2042
36614,06.05.1972,31.05.2032
43278,10.12.1974,31.12.2034
36937,23.12.1971,31.12.2031
63094,03.06.1993,30.06.2053
62467,05.03.1987,31.03.2047
54257,22.01.1987,31.01.2047
49628,18.10.1988,31.10.2048
43261,05.05.1968,31.05.2028
63039,24.09.1988,30.09.2048
56063,20.11.1990,30.11.2050
62648,11.02.1991,28.02.2051
60105,27.03.1992,31.03.2052
40412,01.10.1981,30.09.2041
58844,17.02.1982,28.02.2042
59111,07.10.1991,31.10.2051
49525,28.05.1987,31.05.2047
67910,07.02.2003,28.02.2063
59087,16.09.1988,30.09.2048
56707,21.01.1987,31.01.2047
54920,08.04.1988,30.04.2048
36970,05.05.1969,31.05.2029
49670,22.10.1986,31.10.2046
53840,19.11.1983,30.11.2043
55580,04.08.1983,31.08.2043
39775,15.08.1983,31.08.2043
55777,10.01.1990,31.01.2050
